用户ID,性别,年龄,是否有驾照,所在地区,是否此前购买过车险,车龄,车辆是否发生过事故,年保费,购买渠道,距离上次沟通时间间隔
387442,1,26,1,8,1,0,0,47162,152,197
387443,0,70,1,28,1,1,0,2630,124,209
387444,0,48,1,29,1,1,0,38296,26,189
387445,1,27,1,11,1,0,0,28261,152,70
387446,0,23,1,36,1,0,0,32935,152,269
387447,0,53,1,35,1,1,0,42772,26,291
387448,0,39,1,46,0,1,1,2630,26,116
387449,0,48,1,8,0,1,1,47610,124,285
387450,1,80,1,48,0,1,1,2630,26,29
387451,0,52,1,11,1,1,0,36911,124,50
387452,0,52,1,28,0,1,1,60479,26,47
387453,1,21,1,32,0,0,0,27369,160,218
387454,0,20,1,28,0,0,0,2630,1,267
387455,1,44,1,28,0,1,1,49622,26,285
387456,1,32,1,35,1,0,0,28453,152,27
387457,0,41,1,28,0,1,1,39830,26,116
387458,0,49,1,28,0,2,1,41178,125,236
387459,1,29,1,36,1,0,0,2630,152,264
387460,1,44,1,21,1,1,0,21295,152,263
387461,0,28,1,11,0,0,1,27230,152,82
387462,0,23,1,30,1,0,0,38240,152,160
387463,0,57,1,41,0,1,1,2630,26,79
387464,1,56,1,8,0,1,1,36647,124,232
387465,1,25,1,32,1,0,0,26601,152,82
387466,0,64,1,39,1,1,0,35469,26,218
387467,0,54,1,46,1,1,0,32204,124,144
387468,1,45,1,27,0,1,0,26987,124,125
387469,0,48,1,13,1,1,0,28147,26,229
387470,0,32,1,11,0,1,1,32783,26,89
387471,0,50,1,22,0,1,1,2630,157,191
387472,1,29,1,15,0,0,1,2630,151,116
387473,1,57,1,33,0,1,1,20719,26,98
387474,1,28,1,28,1,0,0,34918,152,252
387475,1,43,1,28,0,1,1,52485,124,144
387476,1,28,1,28,1,0,0,34035,152,179
387477,0,40,1,47,1,1,0,28882,154,198
387478,0,46,1,14,0,1,1,2630,157,259
387479,0,37,1,8,1,1,0,32343,124,156
387480,1,27,1,14,1,0,0,30357,152,219
387481,1,49,1,28,0,1,1,39443,26,202
387482,0,64,1,41,1,1,0,37100,55,224
387483,0,60,1,28,0,1,0,47402,26,120
387484,1,23,1,29,1,0,0,27850,152,100
387485,1,26,1,17,1,0,0,34937,152,28
387486,1,26,1,41,1,0,0,44106,152,265
387487,1,24,1,29,1,0,0,32745,152,241
387488,1,59,1,30,1,1,0,25800,124,134
387489,0,31,1,10,1,0,0,24619,152,176
387490,0,25,1,29,1,0,0,19374,152,176
387491,1,49,1,29,0,1,1,44051,124,229
387492,1,22,1,28,0,0,1,100950,26,269
387493,1,38,1,35,0,1,1,26896,124,112
387494,1,39,1,28,0,1,1,38540,124,273
387495,0,39,1,28,0,1,1,2630,124,40
387496,1,54,1,28,0,2,1,78615,124,260
387497,1,29,1,41,1,0,0,21887,152,172
387498,0,41,1,28,0,1,1,24432,124,264
387499,0,54,1,14,1,1,0,26043,26,284
387500,1,24,1,25,1,0,0,24552,152,38
387501,1,23,1,31,0,0,1,2630,152,208
387502,0,66,1,8,1,1,0,45703,124,46
387503,1,25,1,46,1,0,0,32950,152,10
387504,1,25,1,15,0,0,0,26810,152,289
387505,0,73,1,28,0,1,1,73089,26,286
387506,0,24,1,5,1,0,0,26669,152,178
387507,0,39,1,28,1,1,0,40771,124,87
387508,1,24,1,36,1,0,0,44239,152,187
387509,0,41,1,28,0,1,1,36866,154,70
387510,0,27,1,29,1,0,0,50139,152,139
387511,0,58,1,14,1,1,0,29707,124,62
387512,1,24,1,8,1,0,0,40801,152,270
387513,0,55,1,28,0,1,1,53284,26,229
387514,1,22,1,46,1,0,0,25520,152,294
387515,1,50,1,28,0,2,1,35943,26,25
387516,0,28,1,37,0,0,1,33054,124,94
387517,0,21,1,8,1,0,0,38350,160,205
387518,0,29,1,41,1,0,0,26945,152,89
387519,0,31,1,9,0,0,1,31085,124,122
387520,0,27,1,50,1,0,0,26673,152,248
387521,0,53,1,28,1,1,0,44719,139,40
387522,1,32,1,29,0,1,1,2630,154,52
387523,0,26,1,28,1,0,0,31263,152,205
387524,0,34,1,17,0,1,1,27774,124,287
387525,0,46,1,8,1,1,1,38272,152,122
387526,1,26,1,46,1,0,0,28520,152,242
387527,1,37,1,30,1,1,0,2630,152,192
387528,0,24,1,45,1,0,0,33148,160,278
387529,1,38,1,43,0,1,1,2630,156,89
387530,0,24,1,2,0,0,0,45099,152,185
387531,0,27,1,33,0,0,1,30955,154,277
387532,0,45,1,28,0,1,1,36557,124,158
387533,1,40,1,13,0,1,1,23145,124,145
387534,0,27,1,50,0,1,1,2630,156,125
387535,1,45,1,28,0,2,1,61943,26,284
387536,0,30,1,36,0,0,1,2630,160,157
387537,1,21,1,41,1,0,0,20275,152,267
387538,1,33,1,28,1,1,0,2630,122,108
387539,0,38,1,8,1,1,0,31670,124,62
387540,1,36,1,5,1,1,0,35053,26,246
387541,1,27,1,23,1,0,0,17912,152,18
387542,0,58,1,28,0,1,1,38843,26,248
387543,1,21,1,46,0,0,1,42288,124,270
387544,1,46,1,3,0,1,1,21038,154,187
387545,1,38,1,28,0,1,0,2630,158,239
387546,1,39,1,8,1,1,0,41481,124,160
387547,0,48,1,8,0,1,1,46186,154,205
387548,1,22,1,33,1,0,1,2630,152,117
387549,1,20,1,46,1,0,0,28220,160,225
387550,1,29,1,30,0,1,1,29068,156,271
387551,0,48,1,25,1,1,0,28214,124,194
387552,1,62,1,28,1,1,0,71002,55,254
387553,0,47,1,28,0,1,1,29245,124,201
387554,0,33,1,41,0,0,1,24222,152,59
387555,1,21,1,28,0,0,1,37925,152,58
387556,1,24,1,39,1,0,0,31998,152,269
387557,0,62,1,11,0,1,1,25387,124,260
387558,0,60,1,8,1,1,0,41335,7,93
387559,1,22,1,15,0,0,0,34929,152,131
387560,0,51,1,28,1,1,0,2630,26,217
387561,0,25,1,33,1,0,0,30809,152,150
387562,1,63,1,28,0,1,1,36813,26,121
387563,1,48,1,47,0,2,1,37445,16,125
387564,1,48,1,8,1,1,0,37719,124,22
387565,1,22,1,15,1,0,0,48689,152,194
387566,0,30,1,10,1,0,0,25835,152,182
387567,1,62,1,41,0,2,1,44642,26,28
387568,1,35,1,28,0,1,1,38500,163,197
387569,1,22,1,8,1,0,0,35457,152,71
387570,0,23,1,28,1,0,0,27595,153,66
387571,1,22,1,28,0,0,1,27548,152,131
387572,0,29,1,41,1,0,0,30487,152,238
387573,0,56,1,31,0,1,0,2630,124,235
387574,1,31,1,28,0,0,1,24805,154,56
387575,0,68,1,28,0,1,1,41634,154,82
387576,1,38,1,28,0,1,1,47726,26,220
387577,0,33,1,29,0,1,1,25317,124,178
387578,0,42,1,29,0,1,0,28867,26,77
387579,0,36,1,8,0,1,1,34547,124,77
387580,1,65,1,28,1,1,1,2630,156,34
387581,1,29,1,22,1,0,0,31344,152,18
387582,1,27,1,15,1,0,0,29168,152,128
387583,1,24,1,28,1,0,0,51632,152,64
387584,1,73,1,28,0,1,1,45072,26,61
387585,0,35,1,8,0,1,1,61296,26,77
387586,0,69,1,28,0,2,1,47390,26,52
387587,0,39,1,28,1,1,0,28287,124,141
387588,1,37,1,46,0,1,1,2630,124,13
387589,0,67,1,28,1,1,0,59569,124,104
387590,0,27,1,28,1,0,0,33462,156,12
387591,1,48,1,41,0,2,1,24412,26,188
387592,0,56,1,6,0,1,1,28648,154,256
387593,0,30,1,28,1,0,0,2630,122,293
387594,1,22,1,28,1,0,0,31473,152,199
387595,0,34,1,35,0,1,1,33591,124,239
387596,1,24,1,10,1,0,0,24606,152,277
387597,0,41,1,28,0,1,1,33492,124,261
387598,0,25,1,30,1,0,1,29665,152,251
387599,1,56,1,4,1,1,0,28753,26,185
387600,1,24,1,11,1,0,0,28818,152,56
387601,0,55,1,28,0,1,1,30996,26,198
387602,0,23,1,35,1,0,0,32890,152,75
387603,1,54,1,28,0,1,1,46649,26,58
387604,0,61,1,28,0,1,1,60157,152,160
387605,0,30,1,8,0,1,1,33982,26,67
387606,1,40,1,28,1,1,0,37560,25,217
387607,0,25,1,28,0,0,1,37064,152,29
387608,0,40,1,46,1,1,0,25835,124,37
387609,1,34,1,8,0,1,1,44658,124,50
387610,0,62,1,8,0,1,1,34951,124,271
387611,0,47,1,46,0,1,1,2630,156,185
387612,0,23,1,29,0,0,1,51171,152,188
387613,1,20,1,50,0,0,1,26405,160,68
387614,0,53,1,1,0,1,1,2630,124,216
387615,0,53,1,28,0,2,1,2630,157,148
387616,1,43,1,28,0,2,1,49801,26,104
387617,0,26,1,50,1,0,0,31896,152,40
387618,1,22,1,28,0,0,1,31582,152,84
387619,0,26,1,37,1,0,1,51030,152,13
387620,1,23,1,36,0,0,1,42428,26,243
387621,0,24,1,2,0,0,1,23804,152,90
387622,1,22,1,40,0,0,1,2630,152,217
387623,1,67,1,8,0,1,1,38453,30,16
387624,0,67,1,28,0,1,1,60027,26,91
387625,0,80,1,28,0,1,1,36100,26,244
387626,1,49,1,15,0,1,1,2630,156,270
387627,1,24,1,8,1,0,0,34710,152,228
387628,0,40,1,41,0,1,1,30700,124,99
387629,1,23,1,6,1,0,0,25438,152,189
387630,1,43,1,9,0,1,0,27644,124,42
387631,0,25,1,21,1,0,0,17507,152,219
387632,1,48,1,28,0,1,0,36649,124,203
387633,1,26,1,28,1,0,0,49362,152,139
387634,0,41,1,28,1,1,0,43013,124,160
387635,0,67,1,8,1,1,0,46064,30,67
387636,0,25,1,18,1,0,0,26663,151,277
387637,0,22,1,43,0,0,1,23491,152,123
387638,0,22,1,24,1,0,0,2630,152,159
387639,0,56,1,23,1,1,0,2630,26,157
387640,0,22,1,33,1,0,0,24996,152,159
387641,0,56,1,28,0,1,1,2630,156,185
387642,0,43,1,28,0,1,1,2630,26,164
387643,1,35,1,28,0,1,1,30959,128,224
387644,1,21,1,8,0,0,1,58842,152,124
387645,0,43,1,46,0,1,1,29933,154,133
387646,0,24,1,41,1,0,0,33560,152,38
387647,0,24,1,32,0,0,1,30913,152,245
387648,0,64,1,11,1,1,0,21773,124,253
387649,1,47,1,46,0,1,1,2630,156,111
387650,0,71,1,41,0,1,0,28431,124,179
387651,1,21,1,28,0,0,1,30314,160,130
387652,1,23,1,30,1,0,0,24617,152,202
387653,0,43,1,28,0,1,1,48288,124,81
387654,0,54,1,46,0,1,1,32933,26,205
387655,0,42,1,29,0,1,1,43753,124,26
387656,0,35,1,28,0,1,1,40449,157,70
387657,1,22,1,46,0,0,1,36578,152,213
387658,1,21,1,36,0,0,1,32467,160,10
387659,1,21,1,2,0,0,1,33017,152,165
387660,0,24,1,30,1,0,0,23071,152,113
387661,0,51,1,33,0,1,1,2630,156,30
387662,0,52,1,11,0,1,1,2630,26,210
387663,0,41,1,47,1,1,0,34027,21,102
387664,0,25,1,28,1,0,0,61983,152,103
387665,1,42,1,28,1,1,0,33232,52,183
387666,0,52,1,35,1,1,0,38388,124,212
387667,0,52,1,42,0,1,1,26754,157,266
387668,0,22,1,28,0,0,1,62557,122,269
387669,0,23,1,16,0,0,1,29858,160,13
387670,0,72,1,37,0,1,1,48380,124,299
387671,0,65,1,50,1,1,0,49205,26,36
387672,0,58,1,50,1,1,0,38322,124,149
387673,0,38,1,46,0,1,1,2630,156,104
387674,1,27,1,33,1,0,0,24881,152,185
387675,0,40,1,28,0,1,1,48339,122,62
387676,1,32,1,6,1,0,0,26977,152,182
387677,1,55,1,19,1,1,0,38316,124,112
387678,0,56,1,50,1,1,0,26666,124,141
387679,0,21,1,28,1,0,0,2630,160,225
387680,0,38,1,28,0,1,1,29196,55,98
387681,1,33,1,33,1,0,0,25184,152,11
387682,1,21,1,46,1,0,0,26401,160,260
387683,1,60,1,28,1,1,0,35189,26,86
387684,1,24,1,36,0,0,1,29596,152,265
387685,0,37,1,47,0,1,1,33886,124,191
387686,0,39,1,30,1,1,0,2630,152,252
387687,0,28,1,0,1,0,0,2630,151,119
387688,1,70,1,33,0,1,1,33084,26,27
387689,1,22,1,36,0,0,1,39467,152,238
387690,1,25,1,11,1,0,0,19904,152,248
387691,0,28,1,38,1,0,0,52114,152,93
387692,1,28,1,47,0,0,0,36922,152,127
387693,1,25,1,2,1,0,0,34968,152,136
387694,1,22,1,12,0,0,0,32278,152,71
387695,1,48,1,10,1,1,0,22362,152,27
387696,1,24,1,39,0,0,1,29964,152,263
387697,1,30,1,12,0,0,0,29026,152,74
387698,1,45,1,35,0,1,1,2630,156,250
387699,1,72,1,8,1,1,0,2630,81,224
387700,0,52,1,7,0,1,0,29525,124,221
387701,0,26,1,30,1,0,0,48230,152,231
387702,1,24,1,11,1,0,0,26097,152,157
387703,0,22,1,27,1,0,0,28100,152,267
387704,0,50,1,33,0,1,1,33623,124,50
387705,0,25,1,41,1,0,0,29966,152,16
387706,1,32,1,28,0,1,1,60836,156,92
387707,1,55,1,28,0,1,1,49773,26,41
387708,1,21,1,25,1,0,0,23574,160,86
387709,0,66,1,12,0,1,1,31871,26,187
387710,1,24,1,15,1,0,0,31915,152,96
387711,1,68,0,19,0,1,1,43492,26,68
387712,0,20,1,8,1,0,1,2630,160,119
387713,1,29,1,3,0,0,1,35107,152,250
387714,1,22,1,8,1,0,0,41821,152,217
387715,0,59,1,28,0,1,1,39128,116,139
387716,0,53,1,28,0,1,1,63882,26,128
387717,0,27,1,18,0,0,1,21882,152,293
387718,0,59,1,28,0,2,1,47664,26,50
387719,0,49,1,48,1,1,0,2630,124,48
387720,1,37,1,15,0,1,1,39951,152,184
387721,0,38,1,41,0,0,0,2630,1,15
387722,0,48,1,28,0,1,1,51619,124,250
387723,0,32,1,29,0,0,1,28459,124,229
387724,1,32,1,9,0,1,1,35210,156,140
387725,0,75,1,29,0,1,1,2630,26,37
387726,0,45,1,28,1,1,0,44819,26,145
387727,1,31,1,36,1,0,0,32653,152,255
387728,1,41,1,46,0,1,1,2630,156,127
387729,1,40,1,29,1,1,0,2630,156,43
387730,1,22,1,28,0,0,1,38564,152,219
387731,0,45,1,11,0,1,1,2630,157,211
387732,1,56,1,8,1,1,0,38454,26,92
387733,0,29,1,47,0,1,1,38449,157,155
387734,1,20,1,28,0,0,1,27833,156,245
387735,0,41,1,6,0,1,1,35698,122,110
387736,1,53,1,28,0,1,1,2630,158,146
387737,1,60,1,30,1,1,0,2630,152,77
387738,0,31,1,33,0,1,1,35886,124,18
387739,1,29,1,50,1,0,0,48089,152,242
387740,0,21,1,46,1,0,0,32872,152,270
387741,0,63,1,50,0,2,1,48115,30,16
387742,0,53,1,35,0,1,1,36933,26,16
387743,0,23,1,30,1,0,0,29252,152,63
387744,0,28,1,8,1,0,0,2630,152,86
387745,0,37,1,28,0,1,1,27489,26,175
387746,0,46,1,15,0,1,1,34607,14,85
387747,0,27,1,13,1,0,0,33392,152,129
387748,1,46,1,7,0,1,1,36107,26,183
387749,1,44,1,28,0,1,0,2630,156,256
387750,1,21,1,9,0,0,1,23749,152,50
387751,1,48,1,28,0,1,1,42479,124,288
387752,0,23,1,27,0,0,1,27884,26,157
387753,0,54,1,14,1,1,0,30388,124,232
387754,1,36,1,45,1,1,0,18804,26,223
387755,1,74,1,12,0,1,1,29998,124,130
387756,1,43,1,35,1,1,1,34204,124,21
387757,1,27,1,41,1,0,0,32980,152,11
387758,1,42,1,0,0,1,1,2630,122,194
387759,1,28,1,39,1,0,0,33294,152,178
387760,1,45,1,28,0,1,1,41802,26,233
387761,1,80,1,28,1,1,0,48115,124,152
387762,0,20,1,8,1,0,0,34354,160,223
387763,0,48,1,28,1,1,0,2630,124,254
387764,1,55,1,28,0,1,1,41272,26,51
387765,0,33,1,8,1,0,0,32431,152,215
387766,0,51,1,7,0,1,1,33161,150,117
387767,1,72,1,28,1,1,0,63976,124,203
387768,1,40,1,8,1,1,0,32689,26,287
387769,0,26,1,28,0,0,1,51687,124,19
387770,0,24,1,32,1,0,0,23159,152,10
387771,0,44,1,28,0,1,1,33355,124,113
387772,0,22,1,8,0,0,1,36793,156,161
387773,1,21,1,43,1,0,0,2630,160,263
387774,0,39,1,11,0,1,1,33292,124,158
387775,0,54,1,37,1,1,0,31054,154,249
387776,0,68,1,38,0,1,1,39883,124,136
387777,1,20,1,50,0,0,1,27120,160,246
387778,0,78,1,40,1,1,0,32941,26,91
387779,0,51,1,48,0,1,1,2630,124,182
387780,0,30,1,46,1,0,0,43805,152,80
387781,0,42,1,50,0,1,1,2630,157,62
387782,1,51,1,0,1,1,0,2630,26,187
387783,0,24,1,16,0,0,0,2630,152,154
387784,0,53,1,33,0,1,1,2630,26,267
387785,0,47,1,33,1,1,0,55084,26,182
387786,0,57,1,0,0,1,0,2630,124,191
387787,1,38,1,28,0,1,0,25757,139,100
387788,0,51,1,28,0,1,1,49694,26,148
387789,1,22,1,40,1,0,0,25879,160,32
387790,0,25,1,50,1,0,0,37515,152,270
387791,0,26,1,36,0,0,0,34524,152,162
387792,1,26,1,28,1,0,0,42050,152,135
387793,1,28,1,30,1,0,0,27037,152,184
387794,1,21,1,12,1,0,0,28970,152,156
387795,0,52,1,28,1,1,0,39970,26,271
387796,0,42,1,33,0,1,1,20696,26,164
387797,0,43,1,8,0,1,1,43232,26,178
387798,0,71,1,36,1,1,0,35555,124,120
387799,0,72,1,8,0,2,1,39577,124,221
387800,0,21,1,28,0,1,0,2630,156,173
387801,0,26,1,18,1,0,0,32673,152,234
387802,0,27,1,26,1,0,1,38296,152,176
387803,1,39,1,33,1,1,0,29601,124,50
387804,1,48,1,3,0,1,0,24622,31,244
387805,0,57,1,30,1,0,0,2630,1,67
387806,1,39,1,6,0,1,1,36636,122,211
387807,0,46,1,28,1,1,0,64051,122,72
387808,1,24,1,21,1,0,0,35379,152,299
387809,1,24,1,15,0,0,1,34325,152,216
387810,0,33,1,46,0,0,0,28011,151,228
387811,0,33,1,28,1,1,0,2630,29,288
387812,1,40,1,33,0,1,1,30377,154,161
387813,1,22,1,33,1,0,0,33097,152,62
387814,1,54,1,15,0,1,1,32814,152,143
387815,1,43,1,15,0,1,1,29258,152,85
387816,1,67,1,33,0,1,0,37097,152,270
387817,0,43,1,28,1,1,0,51156,55,147
387818,0,30,1,28,0,0,1,41079,152,262
387819,0,33,1,8,0,0,1,2630,152,104
387820,1,21,1,41,1,0,1,32048,152,14
387821,0,54,1,28,0,1,1,29592,163,263
387822,0,80,1,18,1,1,0,36827,124,264
387823,0,45,1,28,0,1,1,43834,124,239
387824,1,62,1,28,0,2,1,60334,24,259
387825,1,44,1,28,1,1,0,42104,26,247
387826,0,52,1,28,0,2,1,49553,122,208
387827,1,56,1,28,0,1,1,35854,124,293
387828,1,42,1,4,0,1,1,34570,26,100
387829,0,57,1,8,1,1,0,43911,7,171
387830,0,29,1,30,0,0,1,2630,156,199
387831,1,28,1,9,1,0,0,2630,152,144
387832,0,24,1,45,1,1,0,2630,156,35
387833,1,37,1,6,1,1,0,2630,152,46
387834,0,23,1,11,0,0,1,25429,152,242
387835,1,30,1,6,1,0,0,20000,152,23
387836,0,72,1,28,1,1,0,37135,124,258
387837,0,72,1,14,1,1,0,25221,26,276
387838,1,62,1,28,1,1,0,46123,55,282
387839,1,45,1,48,1,1,0,2630,15,210
387840,1,43,1,28,0,1,1,61181,124,144
387841,0,24,1,11,1,0,0,29430,152,282
387842,1,47,1,28,0,1,1,55540,124,24
387843,0,46,1,28,0,1,1,41861,122,25
387844,1,27,1,33,1,0,0,21979,152,103
387845,0,43,1,28,1,1,0,2630,26,294
387846,0,58,1,7,1,1,0,2630,124,244
387847,0,53,1,46,0,1,1,27601,11,291
387848,0,55,1,36,0,1,1,31960,124,137
387849,1,36,1,11,0,1,1,34846,124,285
387850,1,60,1,28,0,1,1,53191,24,24
387851,0,73,1,28,0,1,1,44928,122,268
387852,0,26,1,36,0,0,1,27071,152,252
387853,0,25,1,41,1,0,0,26961,152,13
387854,1,22,1,40,1,0,0,32619,152,92
387855,0,42,1,46,0,1,1,31707,26,116
387856,1,37,1,8,1,1,0,45438,124,56
387857,1,62,1,46,0,1,0,54820,26,250
387858,0,47,1,35,0,1,1,29140,124,236
387859,1,56,1,29,0,1,1,43516,124,129
387860,1,30,1,41,1,0,0,45079,152,286
387861,0,40,1,35,0,1,1,39578,26,146
387862,1,61,1,6,0,1,1,43562,124,214
387863,0,22,1,3,1,0,0,26143,152,261
387864,1,30,1,45,1,0,0,18942,152,256
387865,1,77,1,28,0,2,1,39339,124,27
387866,1,26,1,2,1,0,0,27819,152,113
387867,1,22,1,41,1,0,0,21686,152,246
387868,1,40,1,28,0,1,1,35278,124,117
387869,1,42,1,28,1,1,0,39376,26,290
387870,1,21,1,7,1,0,0,2630,160,67
387871,0,42,1,28,0,1,1,25298,26,236
387872,1,23,1,35,1,0,0,22160,152,159
387873,1,31,1,10,0,1,1,29340,163,19
387874,1,73,1,28,0,2,1,39632,26,256
387875,1,62,1,28,0,1,1,46997,26,88
387876,0,40,1,30,0,1,1,29337,124,40
387877,0,45,1,28,1,1,0,30211,124,30
387878,1,57,1,46,0,1,0,32878,156,28
387879,1,55,1,28,1,1,0,33751,124,218
387880,1,46,1,28,1,1,0,39092,124,205
387881,0,23,1,29,1,0,0,34414,152,128
387882,1,28,1,3,1,0,0,16494,152,95
387883,1,24,1,6,1,0,0,30025,152,218
387884,1,23,1,41,1,0,0,31941,152,95
387885,0,24,1,15,1,0,0,27810,152,89
387886,0,26,1,50,1,0,0,29427,152,158
387887,1,39,1,14,0,1,1,37291,154,30
387888,1,29,1,39,1,0,0,30056,152,218
387889,1,57,1,28,0,1,1,43264,26,56
387890,1,47,1,28,0,1,1,32003,25,287
387891,1,21,1,46,1,0,0,26218,160,243
387892,0,79,1,8,1,1,0,27905,26,266
387893,1,29,1,36,1,0,0,47591,152,234
387894,0,52,1,28,0,1,1,47306,29,64
387895,0,25,1,46,1,0,0,67696,152,286
387896,0,26,1,28,0,0,1,27395,124,142
387897,1,36,1,3,0,1,1,2630,163,133
387898,0,25,1,50,1,0,0,28580,152,228
387899,1,44,1,14,0,1,1,25112,136,97
387900,0,43,1,18,0,1,1,33570,124,247
387901,1,75,1,28,1,1,0,44349,13,230
387902,0,42,1,48,1,1,0,2630,124,171
387903,0,70,1,50,1,1,0,2630,124,135
387904,1,63,1,41,1,1,0,2630,124,14
387905,0,27,1,35,1,0,0,31709,152,121
387906,0,36,1,28,0,1,1,2630,158,12
387907,1,23,1,4,1,0,0,26698,152,269
387908,0,23,1,39,1,0,0,31990,152,40
387909,1,23,1,50,1,0,0,56097,152,73
387910,1,59,1,28,0,2,1,39110,26,215
387911,0,65,1,48,0,1,0,2630,26,255
387912,1,64,1,28,0,1,0,37813,26,61
387913,1,25,1,46,1,0,0,41690,152,134
387914,1,22,1,28,1,0,0,62333,152,182
387915,1,25,1,6,1,0,0,26469,152,130
387916,0,29,1,14,1,0,0,25502,152,291
387917,0,26,1,29,1,0,0,22430,152,240
387918,1,59,1,20,0,2,1,2630,155,79
387919,0,51,1,41,0,1,1,31418,124,112
387920,1,30,1,50,1,1,0,27577,8,164
387921,1,68,1,28,0,1,1,37536,122,290
387922,0,56,1,51,0,1,1,2630,124,67
387923,0,24,1,28,1,0,0,41224,152,86
387924,0,56,1,46,0,1,1,20412,124,103
387925,1,23,1,46,0,0,0,27786,151,202
387926,0,38,1,28,0,1,1,49336,124,256
387927,1,32,1,37,1,0,0,51225,152,248
387928,0,20,1,22,0,0,1,35400,160,263
387929,0,34,1,28,0,1,1,37986,155,189
387930,1,70,1,28,0,2,1,39551,26,42
387931,0,34,1,10,0,0,1,2630,124,45
387932,1,24,1,8,1,0,0,40825,152,37
387933,0,49,1,28,0,1,1,40032,26,44
387934,1,24,1,32,0,0,1,34907,152,142
387935,0,47,1,28,0,2,1,39197,26,264
387936,0,22,1,41,0,1,1,52651,124,140
387937,0,32,1,3,0,1,1,2630,157,227
387938,0,25,1,28,1,0,0,41753,152,158
387939,1,34,1,37,1,1,0,20767,152,29
387940,1,21,1,15,1,0,0,39880,152,271
387941,0,24,1,35,1,0,0,33655,152,245
387942,1,29,1,21,1,0,0,27868,152,67
387943,0,45,1,11,0,1,1,25025,120,10
387944,1,23,1,8,1,0,0,30259,152,113
387945,1,45,1,8,0,1,1,38992,26,70
387946,1,55,1,28,0,1,1,58110,13,41
387947,1,26,1,28,1,0,0,33516,152,41
387948,0,25,1,41,1,0,0,41769,152,127
387949,0,24,1,29,1,0,0,32970,152,163
387950,1,41,1,15,1,1,0,35190,124,81
387951,1,40,1,28,0,1,1,37712,26,178
387952,0,81,1,50,0,1,1,37610,30,91
387953,1,28,1,8,1,0,0,2630,1,142
387954,1,25,1,33,1,0,0,53084,152,62
387955,0,46,1,47,0,2,1,36195,124,283
387956,0,26,1,33,1,0,0,40639,152,27
387957,1,49,1,41,0,1,1,32556,124,227
387958,0,61,1,3,0,1,1,2630,124,196
387959,1,31,1,11,1,0,0,29391,152,202
387960,0,47,1,2,0,1,1,31224,124,227
387961,1,29,1,28,0,0,1,46364,124,108
387962,1,25,1,50,1,0,0,31786,152,47
387963,1,22,1,11,1,0,0,48276,152,118
387964,0,57,1,28,0,1,0,38953,24,221
387965,0,71,1,15,0,1,1,39976,14,181
387966,1,27,1,25,1,0,0,46665,152,61
387967,1,26,1,8,1,0,0,44247,152,113
387968,1,66,1,3,1,1,0,15088,26,232
387969,1,30,1,16,1,0,0,32443,152,50
387970,1,44,1,28,0,1,1,42820,25,233
387971,0,44,1,28,0,1,1,32601,26,290
387972,0,26,1,28,1,0,0,28129,152,119
387973,1,37,1,45,1,1,0,31652,108,229
387974,0,31,1,28,0,0,1,38074,26,139
387975,0,40,1,9,0,1,1,42722,124,123
387976,0,53,1,28,0,1,1,2630,124,174
387977,0,23,1,8,1,0,0,66723,152,61
387978,1,53,1,28,1,1,0,41884,26,211
387979,0,35,1,33,0,1,1,2630,156,63
387980,1,50,1,28,0,1,1,32351,122,293
387981,1,43,1,8,1,1,0,2630,124,141
387982,1,47,1,9,1,1,0,30202,26,278
387983,1,24,1,37,1,0,0,20769,152,196
387984,0,50,1,29,0,1,1,52526,26,214
387985,1,22,1,30,1,0,0,25315,152,230
387986,0,22,1,46,1,0,0,18837,152,166
387987,0,53,1,45,1,1,0,33216,26,275
387988,0,39,1,36,0,1,1,2630,26,252
387989,0,26,1,3,1,0,0,25652,152,174
387990,0,25,1,45,1,0,0,2630,26,160
387991,1,30,1,46,1,0,0,26467,160,213
387992,1,24,1,15,1,0,0,27266,152,72
387993,0,50,1,28,0,1,1,48849,55,49
387994,0,53,1,8,1,1,0,53558,124,153
387995,0,23,1,46,1,0,0,32333,152,15
387996,1,45,1,41,1,1,0,35070,26,116
387997,0,34,1,28,1,1,0,46862,124,273
387998,0,55,1,14,0,1,1,41676,124,227
387999,0,25,1,28,1,0,1,59785,152,169
388000,0,43,1,35,0,1,1,41441,10,230
388001,0,67,1,48,0,1,1,2630,118,59
388002,1,28,1,8,1,0,0,29572,160,136
388003,0,58,1,28,0,1,0,42934,124,95
388004,1,78,1,43,1,1,0,25784,124,85
388005,0,37,1,28,1,1,0,40774,124,156
388006,1,31,1,8,0,0,1,28200,154,141
388007,1,30,1,50,1,0,0,35067,152,249
388008,0,39,1,15,1,1,0,2630,26,37
388009,0,26,1,21,0,0,1,28482,152,46
388010,0,44,1,48,0,1,1,2630,103,297
388011,1,21,1,37,0,0,1,2630,156,87
388012,1,21,1,28,1,0,0,49875,152,270
388013,0,73,1,28,0,1,1,45043,124,206
388014,0,36,1,31,0,1,1,2630,154,66
388015,0,30,1,41,1,0,0,32138,152,48
388016,1,24,1,47,1,0,0,32641,152,106
388017,1,25,1,14,1,0,0,25617,152,69
388018,1,26,1,30,1,0,0,24920,152,247
388019,1,25,1,10,1,0,0,29904,152,203
388020,0,58,1,8,1,1,0,37572,7,106
388021,0,28,1,43,1,0,0,2630,152,221
