用户ID,性别,年龄,所在地区代码,年保费,购买保险渠道,距离上次沟通时间,是否有驾照,是否购买过车险,车龄,此前是否发生事故,是否响应
76879,男,55,47,30747,26,66,1,否,1-2 年,否,1
186618,男,42,28,34631,26,35,1,是,1-2 年,否,0
273668,女,24,3,23084,152,56,1,是,< 1 年,否,0
320550,女,30,10,2630,152,163,1,是,< 1 年,否,0
360251,男,40,28,46376,8,187,1,否,1-2 年,是,1
287778,男,68,4,34486,157,62,1,否,> 2 年,是,0
304039,女,21,25,37562,152,133,1,否,< 1 年,是,0
335320,女,48,28,52323,26,25,1,否,1-2 年,否,0
311866,男,32,0,2630,152,27,1,是,< 1 年,否,0
312469,男,26,37,2630,156,237,1,否,< 1 年,是,0
58564,女,23,45,20345,152,215,1,是,< 1 年,否,0
263,男,45,30,2630,26,121,1,是,1-2 年,否,0
89762,女,24,29,35055,152,258,1,否,< 1 年,是,0
243923,男,24,47,33527,151,288,1,是,< 1 年,否,0
110665,男,64,15,37503,124,30,1,是,1-2 年,否,0
370738,男,30,13,29211,26,38,1,否,< 1 年,是,0
283640,女,23,8,27957,152,187,1,是,< 1 年,否,0
173997,女,25,11,31557,152,92,1,是,< 1 年,否,0
186823,女,48,43,2630,124,174,1,否,> 2 年,是,0
113906,男,22,50,48575,152,165,1,是,< 1 年,否,0
230386,男,40,41,30133,26,246,1,否,1-2 年,是,1
187886,女,56,28,44198,122,221,1,否,1-2 年,是,1
206751,男,25,6,25083,152,220,1,是,< 1 年,否,0
162368,男,38,28,53387,31,43,1,是,1-2 年,否,0
316826,女,24,14,24573,152,169,1,是,< 1 年,否,0
118420,女,21,46,30379,160,17,1,是,< 1 年,否,0
290877,女,37,36,55325,124,107,1,是,1-2 年,否,0
300731,男,63,38,2630,26,99,1,否,1-2 年,是,0
185113,女,20,13,24059,160,152,1,否,< 1 年,是,0
352398,女,24,29,35215,152,131,1,否,< 1 年,是,0
336312,女,23,35,23667,152,47,1,是,< 1 年,否,0
329886,男,42,28,29319,26,270,1,否,1-2 年,是,1
127291,女,77,28,48730,122,90,1,否,1-2 年,否,0
97464,男,59,28,29990,24,106,1,否,1-2 年,否,0
133135,男,33,3,20681,124,199,1,否,1-2 年,否,0
69647,女,24,28,52332,152,38,1,是,< 1 年,否,0
319682,男,29,41,22013,152,52,1,是,< 1 年,否,0
239265,女,29,8,37009,152,73,1,是,< 1 年,否,0
324882,女,23,41,37935,152,181,1,是,< 1 年,否,0
291912,男,24,8,35538,152,11,1,是,< 1 年,否,0
187746,女,35,46,2630,157,42,1,否,1-2 年,是,1
173702,女,29,45,20121,152,49,1,是,< 1 年,否,0
67325,女,34,19,24886,124,251,1,否,1-2 年,是,1
273144,男,24,14,24835,152,277,1,是,< 1 年,否,0
128331,男,42,8,29551,26,198,1,是,1-2 年,否,0
338317,女,23,15,34405,152,35,1,是,< 1 年,否,0
259469,男,35,29,24442,124,33,1,是,1-2 年,否,0
37159,男,30,41,21630,152,135,1,是,< 1 年,否,0
360947,男,25,46,27289,152,131,1,是,< 1 年,否,0
705,男,43,28,26259,124,116,1,否,1-2 年,是,1
1909,男,24,30,22944,152,136,1,是,< 1 年,否,0
4355,女,25,28,25210,152,243,1,是,< 1 年,否,0
349086,男,21,47,39112,152,55,1,是,< 1 年,否,0
238171,男,34,7,2630,26,206,1,否,1-2 年,是,1
375720,女,62,28,49605,26,173,1,否,1-2 年,是,0
308145,女,38,45,24135,26,23,1,否,1-2 年,是,1
303934,男,48,28,58971,26,218,1,否,1-2 年,否,0
136907,女,29,27,39960,152,29,1,是,< 1 年,否,0
145757,女,45,28,33740,26,63,1,否,1-2 年,是,1
293418,男,49,28,45951,26,192,1,是,1-2 年,否,0
156170,男,23,6,36952,152,80,1,是,< 1 年,否,0
204403,男,23,28,23982,152,282,1,是,< 1 年,否,0
9566,男,47,3,24552,154,86,1,否,1-2 年,是,1
83164,男,54,46,25623,124,74,1,否,1-2 年,否,1
333308,女,36,17,96060,26,82,1,否,1-2 年,是,1
191768,男,77,15,30607,124,47,1,否,1-2 年,是,0
188671,女,40,8,42523,3,257,1,否,1-2 年,是,1
103236,女,45,41,25112,124,66,1,否,1-2 年,是,1
199028,男,22,21,20961,152,164,1,是,< 1 年,否,0
57942,男,44,28,36101,26,197,1,否,1-2 年,是,1
22347,女,53,28,41852,26,14,1,否,> 2 年,是,0
162672,女,23,46,31722,152,155,1,是,< 1 年,否,0
25988,男,67,7,49546,26,212,1,否,1-2 年,是,0
25632,女,22,34,28181,152,121,1,否,< 1 年,是,0
88535,女,25,27,28795,152,194,1,是,< 1 年,否,0
70223,男,25,3,22404,152,280,1,是,< 1 年,否,0
140053,男,22,8,58479,152,100,1,是,< 1 年,否,0
243761,男,59,8,86807,26,122,1,是,1-2 年,否,0
217121,男,20,8,53610,160,194,1,是,< 1 年,否,0
212480,男,40,8,46163,124,135,1,否,1-2 年,是,1
202063,男,22,50,22919,152,297,1,是,< 1 年,否,0
134679,女,49,32,2630,152,139,1,否,1-2 年,是,1
125053,女,23,15,28425,152,267,1,是,< 1 年,否,0
93427,男,25,8,36266,152,112,1,是,< 1 年,否,0
16323,男,63,50,34510,26,259,1,否,1-2 年,是,0
377664,女,23,14,2630,160,164,1,否,< 1 年,是,0
167826,女,23,3,2630,152,80,1,是,< 1 年,是,0
278802,女,20,25,27130,160,137,1,是,< 1 年,否,0
75074,女,43,39,2630,152,20,1,否,1-2 年,是,1
252241,男,26,8,39600,152,87,1,是,< 1 年,否,0
40241,男,29,26,28164,26,25,1,否,< 1 年,是,0
229658,女,75,28,45961,125,281,1,否,1-2 年,是,0
34082,男,27,16,20183,152,73,1,否,< 1 年,否,0
329366,男,23,17,35071,152,202,1,否,< 1 年,是,0
206494,女,51,11,39883,124,127,1,是,1-2 年,否,0
381085,男,22,15,28218,152,238,1,否,< 1 年,否,0
92442,男,44,0,2630,124,145,1,否,> 2 年,是,0
105499,男,26,5,2630,160,260,1,否,< 1 年,是,0
180266,女,24,36,35871,152,83,1,否,< 1 年,是,0
332096,女,25,31,2630,152,73,1,是,< 1 年,否,0
264563,女,40,6,38600,124,101,1,否,1-2 年,是,1
54235,男,23,15,35529,160,49,1,是,< 1 年,否,0
177010,男,43,18,2630,156,49,1,否,1-2 年,是,1
77590,男,46,15,33762,157,184,1,否,1-2 年,否,0
299881,男,78,35,53099,124,238,1,否,1-2 年,是,0
88901,女,40,46,45934,124,82,1,否,1-2 年,是,1
180162,男,38,41,37787,124,67,1,否,1-2 年,是,1
354727,男,53,4,31907,124,223,1,是,1-2 年,否,0
362963,男,68,28,31937,124,125,1,否,1-2 年,是,0
62992,女,25,37,19971,152,200,1,否,< 1 年,是,0
211448,男,58,3,2630,26,81,1,是,1-2 年,否,0
328594,男,66,3,25959,124,109,1,否,1-2 年,是,0
340440,男,70,28,58839,25,252,1,否,1-2 年,是,0
242744,女,23,32,36452,152,236,1,是,< 1 年,否,0
100713,男,58,6,41562,3,87,1,是,1-2 年,否,0
66035,男,42,47,19468,156,81,1,否,1-2 年,否,1
370868,女,31,30,2630,154,239,1,否,1-2 年,是,1
8292,女,40,29,36394,124,35,1,否,1-2 年,否,0
88303,女,28,50,2630,160,230,1,否,< 1 年,否,0
164939,男,26,46,2630,152,229,1,否,< 1 年,是,0
76716,男,42,36,38348,55,145,1,否,1-2 年,否,0
186553,女,28,28,43467,152,160,1,是,< 1 年,否,0
329898,男,41,8,32741,26,114,1,否,1-2 年,否,0
266730,女,44,48,2630,15,77,1,否,1-2 年,是,1
74533,男,44,8,39266,124,241,1,是,1-2 年,否,0
259086,女,45,28,41473,122,125,1,否,> 2 年,是,0
307189,男,24,35,2630,26,77,1,否,< 1 年,否,0
295998,男,75,28,45865,13,181,1,否,1-2 年,是,0
47825,女,26,10,28243,152,188,1,是,< 1 年,否,0
271902,男,23,22,26366,26,200,1,是,< 1 年,否,0
5476,女,24,30,47522,152,127,1,是,< 1 年,否,0
206901,女,25,41,32848,152,128,1,是,< 1 年,否,0
372893,男,42,28,26960,124,64,1,否,1-2 年,是,1
342519,女,23,15,48424,152,220,1,是,< 1 年,否,0
258784,女,24,3,28212,152,104,1,是,< 1 年,否,0
344991,男,49,11,16056,124,66,1,否,1-2 年,是,1
174162,男,23,11,27194,152,292,1,否,< 1 年,是,0
260175,男,29,30,2630,152,287,1,是,< 1 年,否,0
8776,男,75,46,30362,124,284,1,否,1-2 年,是,0
179045,男,66,46,32323,26,45,1,是,1-2 年,否,0
170994,女,45,28,32108,60,16,1,否,1-2 年,是,1
336643,男,44,15,26425,163,208,1,否,1-2 年,是,1
370848,男,23,27,33680,152,228,1,否,< 1 年,是,0
291413,女,25,16,32648,152,160,1,否,< 1 年,否,0
357651,女,41,39,41980,124,256,1,否,1-2 年,是,1
322558,男,48,28,33905,26,102,1,否,1-2 年,是,1
279434,男,25,37,35489,152,27,1,否,< 1 年,是,0
7615,女,43,17,52746,124,143,1,是,1-2 年,否,0
339866,女,46,28,70720,156,137,1,否,1-2 年,是,1
288806,男,73,28,38900,122,252,1,否,1-2 年,是,0
314016,女,38,33,2630,124,54,1,否,1-2 年,是,1
65941,男,49,41,44193,26,91,1,是,1-2 年,否,0
86745,女,43,28,48313,26,290,1,否,1-2 年,否,0
249935,男,63,14,25579,124,192,1,是,1-2 年,是,0
108551,女,25,0,2630,152,276,1,是,< 1 年,否,0
372442,男,34,33,37367,124,224,1,否,1-2 年,是,1
275956,女,37,36,2630,26,247,1,否,1-2 年,否,1
343479,男,25,2,2630,152,160,1,否,< 1 年,是,0
295297,女,33,19,26711,4,81,1,是,1-2 年,否,0
238260,女,22,11,32095,152,179,1,是,< 1 年,否,0
365605,男,29,10,37453,124,197,1,否,< 1 年,是,0
205269,男,22,8,2630,152,81,1,否,< 1 年,是,0
354150,女,28,33,63075,152,160,1,是,< 1 年,否,0
51693,女,51,35,2630,26,260,1,否,1-2 年,是,1
140503,男,69,15,39395,124,171,1,是,1-2 年,否,0
59852,男,52,11,2630,26,68,1,否,1-2 年,否,0
253104,男,30,26,26213,152,233,1,是,< 1 年,否,0
310157,男,30,8,34707,26,181,1,否,1-2 年,是,1
175419,女,29,28,39921,152,15,1,是,< 1 年,否,0
303065,女,25,31,2630,151,64,1,否,< 1 年,是,0
93054,女,41,28,42876,122,118,1,是,1-2 年,否,0
35777,男,51,3,26503,26,85,1,是,1-2 年,否,0
230837,女,38,28,35149,26,295,1,是,1-2 年,是,0
251044,男,28,35,30156,152,90,1,是,< 1 年,否,0
73023,女,26,10,24424,152,117,1,是,< 1 年,否,0
234188,男,21,28,43613,152,55,1,是,< 1 年,是,0
283734,男,56,1,2630,124,110,1,否,1-2 年,是,1
51247,女,48,35,24805,154,240,1,否,1-2 年,是,1
380082,女,50,29,40737,124,27,1,否,1-2 年,是,1
17348,男,63,18,33260,30,73,1,否,1-2 年,是,0
48269,男,77,29,29525,124,80,1,是,1-2 年,否,0
350077,女,21,10,2630,160,221,1,是,< 1 年,是,0
201189,男,37,8,51281,124,229,1,是,1-2 年,否,0
69963,女,42,28,44436,26,104,1,是,1-2 年,否,0
317602,男,71,43,21021,26,128,1,否,1-2 年,是,0
114700,女,73,41,52493,136,62,1,否,1-2 年,是,0
239058,男,46,28,25598,26,146,1,否,1-2 年,是,1
378851,女,40,28,30593,124,17,1,是,1-2 年,否,0
189792,女,23,30,20601,152,213,1,是,< 1 年,否,0
95529,男,21,8,35315,160,105,1,否,< 1 年,否,0
203370,男,35,39,2630,26,80,1,否,1-2 年,否,0
324643,男,42,29,2630,155,167,1,否,1-2 年,是,1
23642,男,41,41,26490,124,37,1,否,1-2 年,是,1
732,女,35,28,39339,124,170,1,否,1-2 年,是,1
23934,男,72,28,31170,25,275,1,是,1-2 年,否,0
91557,女,51,47,2630,156,177,1,否,1-2 年,是,1
35808,女,22,36,32814,152,138,1,是,< 1 年,否,0
53079,女,34,10,2630,157,280,1,否,1-2 年,是,1
179946,男,66,0,2630,7,191,1,否,1-2 年,否,0
112688,女,47,28,2630,124,55,1,否,1-2 年,是,1
259766,女,26,8,26831,152,281,1,是,< 1 年,否,0
131306,女,27,10,2630,152,84,1,是,< 1 年,否,0
321010,男,29,35,2630,160,120,1,否,< 1 年,否,0
218100,女,23,8,52117,152,236,1,是,< 1 年,否,0
4040,女,23,3,28497,152,79,1,是,< 1 年,否,0
298956,男,51,3,49394,26,84,1,否,1-2 年,是,1
13672,男,47,3,21257,26,168,1,否,1-2 年,否,0
6957,男,21,11,34488,160,204,1,是,< 1 年,否,0
276432,女,37,28,30463,26,257,1,是,1-2 年,否,0
360214,女,47,28,58864,124,77,1,否,> 2 年,是,0
3015,女,28,41,31625,152,10,1,是,< 1 年,否,0
342742,男,45,28,31139,59,159,1,否,> 2 年,是,1
182290,女,25,32,28846,152,165,1,是,< 1 年,否,0
118181,男,62,8,59020,7,294,1,是,1-2 年,否,0
214075,女,39,28,37696,124,154,1,否,1-2 年,否,1
363635,女,62,30,34433,124,154,1,否,> 2 年,是,0
283152,男,23,50,28781,152,45,1,否,< 1 年,是,0
229466,女,25,6,25973,152,267,1,是,< 1 年,否,0
235811,女,23,40,33542,26,107,1,否,< 1 年,是,0
62062,女,29,10,2630,152,103,1,是,< 1 年,否,0
199009,女,43,28,56026,124,160,1,否,1-2 年,是,1
224111,男,23,33,30240,152,247,1,是,< 1 年,否,0
176852,男,57,28,48724,26,98,1,是,1-2 年,否,0
242794,女,26,25,30723,152,270,1,是,< 1 年,否,0
85266,男,73,28,49150,26,75,1,是,1-2 年,否,0
306990,女,39,28,40570,152,240,1,是,1-2 年,否,0
368837,男,40,28,31126,124,134,1,否,> 2 年,是,0
21170,女,40,48,2630,15,274,1,否,1-2 年,是,1
107461,男,46,28,25385,124,42,1,否,1-2 年,是,1
195226,男,24,6,29338,152,279,1,是,< 1 年,否,0
9668,男,41,8,38873,124,50,1,否,1-2 年,是,1
279210,女,24,6,20058,160,226,1,是,< 1 年,否,0
227493,男,23,30,24719,152,59,1,是,< 1 年,否,0
286692,男,43,28,2630,124,247,1,是,1-2 年,否,0
297795,男,20,41,2630,156,211,1,否,< 1 年,是,0
307864,男,73,46,29741,26,210,1,否,1-2 年,否,0
230633,女,24,12,2630,152,171,1,否,< 1 年,是,0
291674,女,64,8,39690,26,244,1,否,1-2 年,是,0
9055,女,24,36,2630,151,51,1,否,< 1 年,是,0
9144,女,24,6,27075,152,173,1,是,< 1 年,否,0
92942,男,53,8,38817,26,41,1,否,1-2 年,是,1
219723,男,48,41,31718,124,246,1,否,1-2 年,是,1
174751,女,25,2,43134,152,67,1,是,< 1 年,否,0
205577,女,59,28,47803,26,213,1,否,1-2 年,是,0
165848,女,21,5,2630,160,68,1,否,< 1 年,是,0
198538,女,36,28,51574,13,54,1,否,1-2 年,是,1
25038,女,45,35,30616,26,187,1,否,1-2 年,是,1
129810,女,45,35,29301,124,244,1,是,1-2 年,否,0
163538,女,26,29,43990,152,192,1,是,< 1 年,否,0
55991,女,22,11,24061,152,62,1,是,< 1 年,否,0
222245,男,57,28,38472,26,143,1,否,1-2 年,是,1
49095,女,63,28,69059,26,264,1,是,1-2 年,否,0
174484,男,26,33,23586,152,292,1,是,< 1 年,否,0
279318,男,28,10,41670,152,185,1,是,< 1 年,否,0
75209,男,45,50,26603,26,196,1,是,1-2 年,否,0
110747,男,24,36,46622,160,64,1,是,< 1 年,否,0
338672,男,38,11,26775,124,84,1,否,> 2 年,是,0
164453,女,24,22,27085,152,62,1,否,< 1 年,否,0
294723,女,60,45,30583,154,208,1,否,1-2 年,是,0
235346,男,58,8,37802,26,228,1,否,1-2 年,是,1
23432,男,43,47,30482,26,88,1,否,1-2 年,是,1
115203,女,28,11,26382,152,287,1,是,< 1 年,否,0
195777,女,59,11,35119,124,132,1,否,1-2 年,是,0
96707,女,20,37,32350,160,87,1,否,< 1 年,是,0
208838,女,51,28,38118,124,21,1,否,> 2 年,否,1
197149,男,26,8,42992,152,179,1,是,< 1 年,否,0
279414,女,47,41,35536,26,30,1,是,1-2 年,否,0
69784,男,44,8,38073,71,283,1,是,1-2 年,否,0
70981,男,39,46,21779,124,104,1,否,1-2 年,是,1
376737,女,36,24,26612,124,187,1,否,1-2 年,是,1
142871,女,21,30,31274,152,41,1,是,< 1 年,否,0
272365,男,21,28,43898,163,243,1,否,< 1 年,是,0
302042,男,56,48,2630,26,251,1,是,1-2 年,否,0
105533,女,48,39,2630,152,187,1,否,1-2 年,是,1
313389,男,60,13,2630,124,42,1,否,1-2 年,是,0
296697,女,28,28,31900,152,248,1,是,< 1 年,否,0
135917,男,22,15,23949,160,44,1,是,< 1 年,否,0
174457,女,65,41,52436,12,178,1,否,1-2 年,是,0
27207,男,76,0,2630,26,190,1,否,1-2 年,是,0
257059,女,20,15,28817,160,168,1,否,< 1 年,是,0
366113,女,32,30,32127,154,177,1,否,1-2 年,是,1
65657,男,43,28,43804,26,47,1,否,1-2 年,是,1
14436,女,45,15,50881,124,154,1,是,1-2 年,否,0
75536,女,49,28,30560,26,115,1,否,1-2 年,是,1
232438,男,31,28,39596,152,55,1,是,< 1 年,否,0
236667,男,24,9,48123,152,216,1,是,< 1 年,否,0
40503,女,22,12,32560,152,246,1,是,< 1 年,否,0
270764,男,22,36,39493,152,176,1,是,< 1 年,否,0
40545,男,66,28,43434,26,140,1,是,1-2 年,否,0
185996,女,44,28,43932,26,20,1,否,1-2 年,是,1
106942,男,22,18,31496,152,207,1,是,< 1 年,否,0
35944,女,31,28,40927,152,195,1,是,< 1 年,否,0
149330,男,24,28,38705,152,39,1,否,< 1 年,是,0
302002,男,71,50,37912,26,141,1,是,1-2 年,否,0
143519,男,56,28,38106,26,240,1,是,1-2 年,否,0
80997,男,60,28,39294,122,221,1,否,1-2 年,是,1
247080,男,52,50,31575,26,13,1,否,1-2 年,是,1
108966,男,57,8,2630,124,38,1,否,1-2 年,否,0
211820,女,24,17,36782,152,126,1,是,< 1 年,否,0
320478,男,52,2,35788,124,296,1,否,1-2 年,是,1
340621,女,27,36,29889,152,243,1,是,< 1 年,否,0
2190,男,24,18,26800,152,210,1,否,< 1 年,是,0
179725,男,21,37,32430,163,76,1,否,< 1 年,是,0
180601,男,25,45,33283,152,259,1,是,< 1 年,否,0
345470,女,21,43,2630,160,121,1,是,< 1 年,否,0
262529,女,29,3,18770,152,140,1,否,< 1 年,是,0
210965,女,61,28,46216,25,227,1,否,1-2 年,是,0
225560,女,31,28,58594,26,98,1,否,1-2 年,否,0
256673,男,49,28,33233,124,225,1,否,1-2 年,否,0
50502,女,25,11,24249,152,76,1,是,< 1 年,否,0
361786,男,24,14,26178,152,254,1,是,< 1 年,否,0
153525,男,47,28,33872,124,21,1,否,> 2 年,是,0
311267,女,76,28,33266,124,222,1,否,1-2 年,是,0
21190,女,31,11,22402,152,232,1,是,< 1 年,否,0
190185,女,43,29,36238,124,225,1,否,1-2 年,是,1
73412,女,76,28,38330,42,263,1,否,1-2 年,是,0
82869,女,68,28,32060,26,186,1,否,1-2 年,是,0
47089,女,27,28,62378,152,242,1,是,< 1 年,否,0
326918,女,54,28,57053,122,166,1,否,1-2 年,否,1
352549,女,35,28,49325,124,88,1,否,1-2 年,是,1
21697,女,22,8,2630,152,155,1,否,< 1 年,否,0
82571,男,48,27,32320,26,203,1,否,1-2 年,否,0
303005,男,24,33,30858,151,88,1,是,< 1 年,否,0
16091,女,39,41,30477,124,262,1,否,1-2 年,是,1
55552,女,35,10,37438,152,279,1,否,1-2 年,是,1
378836,男,24,11,32106,152,14,1,是,< 1 年,否,0
369874,男,40,38,2630,156,180,1,否,1-2 年,是,1
49156,男,38,28,2630,160,223,1,否,1-2 年,是,1
127746,男,58,28,34430,26,269,1,是,1-2 年,否,0
101401,女,40,28,38044,122,157,1,否,1-2 年,是,1
114511,女,35,50,31409,11,267,1,否,1-2 年,是,1
125588,男,47,28,40499,26,172,1,否,1-2 年,是,1
5060,女,23,10,30326,26,253,1,否,< 1 年,是,0
299500,女,38,41,37130,124,60,1,否,1-2 年,是,1
58310,男,32,2,24748,152,62,1,否,< 1 年,是,0
151100,女,41,28,30557,26,275,1,否,1-2 年,是,1
226325,女,22,29,41790,152,179,1,否,< 1 年,是,0
101377,男,28,29,37209,152,41,1,是,< 1 年,否,0
5274,女,72,36,33863,26,67,1,否,1-2 年,是,0
9203,男,42,28,2630,124,158,1,否,1-2 年,是,1
1230,女,58,28,47480,124,137,1,否,1-2 年,是,0
286795,男,27,3,26000,152,206,1,是,< 1 年,否,0
145327,男,41,46,28543,124,206,1,否,1-2 年,否,1
379076,女,25,49,2630,152,115,1,是,< 1 年,否,0
114905,女,24,20,2630,163,223,1,否,< 1 年,是,0
49761,女,24,11,21119,152,287,1,是,< 1 年,否,0
337927,女,38,28,25786,26,80,1,否,1-2 年,是,1
193060,男,29,28,89345,122,30,1,否,< 1 年,是,0
188689,男,45,28,2630,124,168,1,否,1-2 年,是,0
292639,男,68,28,39926,26,298,1,否,1-2 年,是,0
85943,女,22,46,22615,152,273,1,是,< 1 年,否,0
213034,男,66,45,36747,124,241,1,是,1-2 年,是,0
5303,女,50,28,45376,124,80,1,否,> 2 年,是,0
204381,男,26,33,2630,152,27,1,是,< 1 年,否,0
102078,女,26,11,31170,152,257,1,是,< 1 年,否,0
331038,男,55,50,26386,26,206,1,是,1-2 年,否,0
48854,女,26,10,29070,152,40,1,是,< 1 年,否,0
186613,男,41,8,32332,124,60,1,是,1-2 年,否,0
161314,男,42,8,43659,124,71,1,否,1-2 年,是,0
298748,女,40,41,23749,26,233,1,否,1-2 年,是,0
113422,男,20,3,2630,160,75,1,是,< 1 年,否,0
329241,男,38,28,30786,60,63,1,否,1-2 年,是,0
275563,女,24,15,45684,152,195,1,是,< 1 年,否,0
197028,男,54,50,2630,122,17,1,是,1-2 年,否,0
174975,女,23,15,2630,160,159,1,否,< 1 年,是,0
271592,男,21,27,23760,160,269,1,否,< 1 年,否,0
239938,女,57,28,34267,60,134,1,否,1-2 年,否,0
17007,女,27,50,29169,152,170,1,是,< 1 年,否,0
52269,男,23,46,30287,152,71,1,是,< 1 年,否,0
202862,女,23,11,27079,152,183,1,是,< 1 年,否,0
210238,女,22,8,45174,152,236,1,否,< 1 年,是,0
226027,男,70,28,24814,26,176,1,否,1-2 年,是,0
368356,男,46,28,44060,26,195,1,否,1-2 年,是,0
357800,男,48,41,2630,26,77,1,否,1-2 年,是,0
320942,男,45,50,41794,8,203,1,否,1-2 年,是,0
111116,女,33,48,2630,154,229,1,否,1-2 年,是,0
21813,男,37,27,31469,124,52,1,否,1-2 年,是,0
90865,男,20,35,2630,160,30,1,否,< 1 年,是,0
237686,男,46,8,34598,26,266,1,否,1-2 年,是,0
267070,女,23,7,33562,152,188,1,否,< 1 年,否,0
105194,男,29,32,26807,152,205,1,是,< 1 年,否,0
86297,男,46,28,39979,26,13,1,否,1-2 年,是,0
41331,男,52,28,2630,26,254,1,否,1-2 年,是,0
97251,男,35,30,32204,152,260,1,是,1-2 年,否,0
48774,男,57,9,39523,26,118,1,否,1-2 年,是,0
204344,女,22,30,29607,152,239,1,是,< 1 年,否,0
156307,男,40,28,40266,124,51,1,否,1-2 年,是,0
64058,女,20,15,26828,160,75,1,否,< 1 年,是,0
365119,女,20,28,2630,156,64,1,否,< 1 年,是,0
195837,女,23,9,24536,152,85,1,是,< 1 年,否,0
174545,男,27,21,24629,152,287,1,是,< 1 年,否,0
254228,男,28,28,35570,152,153,1,否,< 1 年,是,1
229315,女,72,43,43690,26,253,1,是,1-2 年,否,0
192825,女,27,36,42346,152,233,1,是,< 1 年,是,0
292434,男,54,46,27745,116,210,1,否,> 2 年,是,0
99018,女,24,28,36213,152,239,1,是,< 1 年,否,0
93987,女,38,36,32524,26,47,1,否,1-2 年,是,0
160417,男,31,50,31744,8,243,1,是,1-2 年,否,0
11907,女,22,41,32002,152,160,1,否,< 1 年,是,0
181698,男,53,28,26446,26,188,1,否,1-2 年,是,0
360314,女,31,35,34614,152,205,1,否,< 1 年,是,1
254753,男,24,6,17151,152,130,1,是,< 1 年,否,0
184231,男,78,15,31700,26,61,1,是,1-2 年,否,0
27512,男,23,28,2630,158,186,1,否,< 1 年,是,0
88103,男,80,28,59062,124,28,1,否,> 2 年,是,0
206596,男,25,8,32579,152,268,1,否,< 1 年,否,0
336040,男,39,8,2630,152,29,1,否,1-2 年,否,0
63292,女,22,28,51008,152,223,1,是,< 1 年,否,0
141770,男,21,28,2630,26,275,1,否,< 1 年,是,0
171252,男,57,29,39000,124,284,1,否,1-2 年,是,0
302297,女,22,9,30068,152,142,1,否,< 1 年,是,0
196350,女,24,28,110012,152,192,1,否,< 1 年,是,0
110311,男,68,28,47422,26,157,1,否,> 2 年,是,0
283737,女,46,28,67904,26,77,1,否,> 2 年,是,0
142584,女,38,19,33789,163,81,1,否,1-2 年,是,0
128085,男,68,28,29457,26,67,1,否,> 2 年,是,0
366517,男,32,28,30588,124,288,1,否,1-2 年,是,0
366288,女,62,28,79856,26,200,1,否,1-2 年,否,0
37254,男,44,28,38440,26,191,1,否,1-2 年,是,0
5308,女,22,15,32123,152,123,1,是,< 1 年,否,0
171183,男,51,28,41655,26,19,1,是,1-2 年,否,0
251877,男,24,41,48894,152,126,1,是,< 1 年,否,0
207546,女,23,46,50577,152,290,1,是,< 1 年,否,0
130959,男,42,28,44618,26,152,1,是,1-2 年,否,0
205137,男,53,48,2630,124,184,1,是,1-2 年,否,0
335252,女,35,28,36080,26,114,1,是,1-2 年,是,0
380295,男,78,28,44106,122,142,1,否,> 2 年,是,0
265397,女,45,4,34371,26,199,1,是,1-2 年,否,0
372591,男,54,47,29826,16,103,1,是,1-2 年,否,0
225499,男,39,28,68620,26,177,1,否,> 2 年,是,1
63622,女,28,3,24773,160,245,1,否,< 1 年,是,0
68111,女,42,6,31140,124,207,1,是,1-2 年,否,0
340273,男,65,28,53188,55,24,1,否,1-2 年,是,0
58161,女,24,42,2630,160,49,1,是,< 1 年,否,0
157060,男,41,28,2630,26,149,1,否,1-2 年,是,1
373117,男,23,8,30512,152,20,1,是,< 1 年,否,0
89138,男,30,3,2630,156,274,1,否,1-2 年,是,1
262078,女,27,28,2630,1,199,1,否,< 1 年,否,0
114536,男,61,50,30563,124,117,1,是,1-2 年,否,0
246365,男,28,50,29896,152,269,1,是,< 1 年,否,0
216478,女,38,28,32037,26,251,1,否,1-2 年,是,1
106819,女,52,10,30253,124,77,1,否,1-2 年,是,1
309285,男,20,6,25535,160,269,1,是,< 1 年,否,0
182571,女,31,50,35551,154,295,1,否,1-2 年,否,1
362680,女,61,28,48089,26,147,1,否,> 2 年,是,0
180820,女,63,28,45202,26,196,1,否,1-2 年,是,0
29819,男,45,11,23125,26,175,1,否,1-2 年,是,1
140616,女,27,41,45140,152,296,1,是,< 1 年,否,0
346840,男,43,43,46911,124,29,1,否,1-2 年,是,1
128801,女,54,28,50646,122,125,1,是,1-2 年,否,0
84749,男,24,52,26170,152,89,1,是,< 1 年,否,0
71354,女,21,9,2630,160,208,1,否,< 1 年,是,0
276069,女,28,36,31428,152,239,1,是,< 1 年,否,0
88386,女,51,47,37353,152,80,1,否,1-2 年,是,1
205454,男,54,28,2630,124,113,1,否,> 2 年,是,0
86210,女,42,28,43488,26,143,1,是,1-2 年,否,0
236098,男,58,28,2630,26,87,1,否,1-2 年,是,0
101830,女,33,46,32174,21,118,1,是,1-2 年,否,0
298536,女,24,19,20056,152,171,1,是,< 1 年,否,0
261620,男,21,36,35515,160,65,1,否,< 1 年,是,0
146467,女,52,38,34247,124,142,1,否,1-2 年,是,1
41975,男,42,28,46672,124,54,1,是,1-2 年,否,0
55754,女,42,15,21166,124,123,1,是,1-2 年,否,0
258552,男,25,39,27243,152,263,1,是,< 1 年,否,0
